game_id;team_id;period1Score;period2Score;period3Score;period4Score
'0022200845';1610612749;22;32;27;38
'0022200889';1610612755;22;25;28;35
'0022200889';1610612763;37;22;22;24
'0022200013';1610612756;24;21;31;31
'0022200013';1610612742;32;30;19;24
'0022200489';1610612743;32;26;35;27
'0022200489';1610612757;27;37;16;27
'0022200738';1610612748;26;24;23;37
'0022200738';1610612753;31;28;20;26
'0022200872';1610612757;27;25;22;27
'0022200872';1610612764;31;28;38;29
'0022200241';1610612764;35;24;18;29
'0022200241';1610612766;27;28;24;23
'0022200925';1610612761;24;20;26;34
'0022200925';1610612741;23;23;26;26
'0022200314';1610612738;38;30;34;32
'0022200314';1610612748;35;25;36;25
'0022200350';1610612758;29;33;20;28
'0022200350';1610612741;27;20;31;23
'0022200123';1610612764;28;29;13;16
'0022200123';1610612751;38;31;27;32
'0022200559';1610612757;22;39;41;33
'0022200559';1610612765;27;25;30;24
'0022200218';1610612742;28;23;23;18
'0022200218';1610612745;31;26;19;25
'0022200614';1610612762;31;24;33;28
'0022200614';1610612739;24;31;29;30
'0022200232';1610612762;42;32;33;27
'0022200232';1610612756;35;31;39;28
'0022200139';1610612756;35;26;23;18
'0022200139';1610612757;26;14;21;21
'0022200653';1610612743;31;38;25;25
